Country,Total Count of COVID Deaths
Afghanistan,7896
Albania,3598
Angola,1933
Argentina,130472
Armenia,8727
Bahrain,1553
Bangladesh,29445
Benin,163
Bhutan,21
Bolivia,22365
Bosnia and Herzegovina,16280
Botswana,2801
Bulgaria,38228
Burundi,38
Cambodia,3056
Cameroon,1965
Central African Republic,113
Chile,64273
China,101056
Colombia,142339
Costa Rica,9245
Croatia,17987
Cyprus,1330
Djibouti,189
Ecuador,36014
Egypt,24812
El Salvador,4230
Equatorial Guinea,183
Eritrea,103
Eswatini,1425
Ethiopia,7572
Gabon,306
Georgia,16971
Ghana,1462
Greece,34779
Guatemala,20182
Honduras,11111
India,530779
Indonesia,160941
Iran,144933
Iraq,25375
Israel,12329
Italy,188322
Jamaica,3514
Jordan,14122
Kenya,5688
Kosovo,3211
Kuwait,2570
Laos,758
Lebanon,10841
Lesotho,723
Malawi,2686
Malaysia,36967
Mexico,333188
Mongolia,2136
Montenegro,2808
Mozambique,2242
Namibia,4090
Nepal,12020
Nicaragua,245
Nigeria,3155
North Macedonia,9662
Oman,4628
Pakistan,30644
Papua New Guinea,670
Paraguay,19878
Peru,219539
Philippines,66188
Poland,119010
Qatar,688
Romania,67736
Rwanda,1468
San Marino,122
Saudi Arabia,9618
Serbia,17881
Singapore,1722
South Africa,102595
South Sudan,138
Sri Lanka,16830
Syria,3164
Tajikistan,125
Tanzania,846
Thailand,33918
Togo,290
Turkey,101492
Uganda,3630
United Arab Emirates,2349
Uzbekistan,1637
Vietnam,43186
Yemen,2159
Zambia,4057
Zimbabwe,5671
